topic,content
Basketball,"Lou Williams, who has the unusual role of leading the Clippers in scoring while coming off the bench, does not run around the court so much as flutter across it. At 6 feet 1 inch and 175 pounds, he has embraced his identity as a butterfly among a herd of cattle.But at this stage of his career, Williams wants to feel as light and nimble as possible — so he essentially starves himself on game days. After a big breakfast, he refuses to eat again until well after the game itself, often going nearly 12 hours between meals.It is one of several habits that Williams, 32, has developed over the years, and one that clearly works for him. It is also the opposite of how most elite athletes prepare for games. But Williams is different: He wants to take the court with an appetite.“That’s crazy,” Landry Shamet, the first-year Clippers guard, said. “I’d weigh about 115 pounds if I did that.”The Clippers, as they often have this season, turned to Williams on Monday night for an extraordinary performance — this time against the Golden State Warriors in Game 2 of their first-round playoff series. In the Clippers’ 135-131 win, Williams collected 36 points and 11 assists to help erase a 31-point deficit.Shamet sealed the biggest comeback in N.B.A. playoff history with a go-ahead 3-pointer with 16.5 seconds left, and the Clippers evened the best-of-seven series at one game apiece.“I’m one of those guys who can get hot,” said Williams, who shot 13 of 22 from the field, “and I just got lost in the moment.”The Clippers, who have thrived behind Williams in the wake of a midseason deal that sent Tobias Harris to the Philadelphia 76ers, will need all of him again — all his scoring, all his savvy, all his unusual rituals — when the Warriors come to Los Angeles for Game 3 on Thursday.Make no mistake, the Clippers have their share of scrappy, no-nonsense guys. Patrick Beverley, who has spent the series covering the Warriors’ Kevin Durant like aluminum foil, would trash talk a telephone pole.Williams, on the other hand, carries himself with a brand of quiet composure that has a power all its own.“He goes about his business,” said Sam Cassell, an assistant coach for the Clippers. “He’s not overwhelmingly faster than people. He’s not bigger than people. But he understands what he can do on the basketball court, and he does it well.”The Warriors’ Klay Thompson recently came across a package of highlight clips from Williams’s days as a star guard at South Gwinnett High School outside of Atlanta. What stood out to Thompson was how little Williams had changed.“He played the exact same way,” Thompson said in an interview before the start of the series. “It was incredible: same step-back jumper, same hesitations, same floaters.”Williams has stuck with the same general blueprint while refining his skills — slicker, craftier, jazzier. He has also become more resilient. There was a time, he said, when he thought his career might be finished. In 2013, he tore the anterior cruciate ligament in his right knee while playing for the Atlanta Hawks. In his comeback, he turned to Kenny Atkinson, who was then one of the team’s assistants, to help reassemble his game.Atkinson, now the head coach of the Nets, imbued Williams with the importance of routine."
Basketball,"The Knicks won a basketball game Thursday night. That has not happened since Jan. 4.There won’t be a ticker-tape parade, but it was a surprise. This, after all, has been a really bad season for the Knicks.They are 11-47. The win, over the Atlanta Hawks, 106-91, broke an 18-game losing streak, which was a franchise record.The team traded away its most popular player by far, Kristaps Porzingis, and in return got a rookie and a couple of expiring contracts. The deal also meant the cancellation of the coming Latvian Heritage Night at Madison Square Garden, which frankly was shaping up to be one of the highlights of the season.To be fair, a core of loyalists insist that these Knicks are a fun bunch to watch. And there is optimistic talk for next year.The Knicks are bad enough to have a decent shot at the top draft pick, probably Zion Williamson, Duke’s superstar big man. Cap space will allow the team to seek big-name free agents, and there is sunny speculation that the team could land stars like Kevin Durant or Kyrie Irving or even both.We’ll see about that. But for now, fans are left pondering if the Knicks are historically dreadful or just run-of-the-mill dreadful.Let’s see how the Knicks rate, at least in the current century.That means this year’s Knicks won’t have to compete against the consensus worst team of them all, the legendary 9-73 Philadelphia 76ers of 1972-73.Despite a couple of 50-win seasons, in 2000 and 2013, the Knicks’ winning percentage this century is .416, worst in the N.B.A. Yes, even worse than the Washington Wizards, and Charlotte Hornets, and even the Nets.Here is how the 2018-19 Knicks stack up.This is where it begins and ends. Wins. Losses. But mostly losses. Lots and lots of losses.The Knicks are 11-47, giving them a winning percentage that looks like a typo: .190.But there were worse seasons in the last 20 years. In 2012, the Bobcats (now the Hornets) finished at 7-59 in a lockout season for a .106 percentage.Over a full season, the 76ers in 2016, in full tanking mode, only barely managed to break double digit wins with a 10-72 record."
Basketball,"HOLBROOK, Ariz. — A wind that would not stop tugged at flags and sent sand devils spinning into this desert town as I walked past Mr. Maestas Restaurant and the Arizona Pawnman and the Empty Pockets Saloon and came to a rise and looked across an emptiness of plain that stretched the limits of vision.I recalled my talk a few days ago with Mike Budenholzer at the Ritz-Carlton in New York City. He coaches the Milwaukee Bucks, who finished the regular season with 60 wins and the best record in the N.B.A. His team features a brilliant Greek forward-guard-center named Giannis Antetokounmpo, Montenegrin and Turkish forwards, a Spanish center, and black and white players from corners rural and urban.He is known for his deft handling of diverse pro players. Where, I asked, did you pick up that skill?Let me tell you about my hometown, Holbrook, he said.Budenholzer, blue-eyed and middle-age, was once was a skinny, blond, teenage shooting guard in this old cattle and railway town. He starred on the Roadrunners basketball team at Holbrook High School alongside his boyhood friend B. J. Little, an African-American; a few Anglos; and a half-dozen Navajo boys who could run and pass all day and all night.“There’s no doubt in mind that my background there has helped me navigate life in the N.B.A.” Budenholzer said. “Growing up, you knew Navajo culture and black culture from Louisiana and Mexicans. I learned to foster the same sort of culture.”Holbrook comprises its own world, an isolated high desert city of 5,053 that sits on the southern lip of the Navajo Nation, which is the size of the Republic of Ireland. To the south lies the small Mormon town of Snowflake, and beyond that the forests and canyons of the White Mountain Apache Reservation, which is bigger than Delaware.Holbrook’s population is roughly 50 percent white and 50 percent Navajo, Hopi, Mexican and black. The city has long kept a dormitory for Navajo children whose parents want them to attend the well-regarded Holbrook High School. Founded in the 1880s, Holbrook was an outlaw-friendly habitat, and a sign on the South Side tends to underline this point: Bucket of Blood Street. Terrill’s Cottage Saloon once stood on this street, and more than a few cowpokes breathed their last there.Quite a few youngsters leave in search of better prospects. The city is tattered at the edges, a few buildings lie gape-toothed and abandoned, a motel stands vacant, and a single movie theater shows a single movie. But it’s a hospitable place, and the main drag, Navajo Boulevard, has Mexican restaurants and motels and Native American jewelry stores and a herd of giant plastic dinosaurs that signal proximity to Petrified Forest National Park.Budenholzer’s father, Vince, coached the basketball team and won a state championship in 1971 and was inducted into the state coaching hall of fame. At the time, Mike was an assistant to Gregg Popovich of the San Antonio Spurs. During a team visit to Phoenix, he told Popovich of his father’s ascent. When Vince showed up later that day, Popovich got down on a knee in the hotel and said, “Here is a real coach.”Father and son were two hoops tramps who traveled in school buses hundreds of miles across the empty quarter of Northern Arizona in search of games and wins.Vince’s Holbrook teams played a variation on the Native American hoops style known as Rez Ball: A quicksilver, sneaker-squeaking, run-pass-pass-shoot style, perfect for the Navajo and the Apache, for whom distance running is a millenniums-old tradition.“We pressed from the minute we stepped off the bus,” Vince said. ”I had one Navajo who was taller than 6 foot, and so what?”Vince is 89 and still lean in that way of an old athlete, and he and his wife, Libby, moved nine years ago to Queen Valley, in the cactus foothills of the Superstition Mountains, east of Phoenix. They miss Holbrook; it remains the home of their hearts, but the winters on that mile-high plateau ran them off. “The winds never stop blowing,” Libby said.The couple raised seven children, five boys and two girls, in a small house across Florida Street from Hunt Park. Libby became a councilwoman and served a term as mayor, and Vince moonlighted as Holbrook’s parks and recreation director during the summer. He built a hoop in his backyard and put up a floodlight so the teenagers could play into the evening."
Basketball,"CHARLOTTE, N.C. — Stephen Curry was about 25 minutes into a news conference here on Saturday afternoon when a magician who goes by the name Jibrizy sidled up to the dais to do a card trick. Curry, the Golden State Warriors point guard, seemed impressed.“That was nice, big fella,” Curry said. “That was crazy. Y’all see that? Did y’all see that? What’s your name, boss? Jibrizy? Nice to meet you, man. Fire. You’re fire. That’s what’s up.”Lots of weird stuff tends to happen during N.B.A. All-Star weekend, and a cameo by Jibrizy was no exception. But it was also the rare instance when the spotlight left Curry, if only for a moment, in the run-up to the weekend’s flagship game on Sunday.Curry, a six-time All-Star and two-time most valuable player who has already coaxed Golden State to three championships, is used to lots of attention. But he relished his return to Charlotte, where he grew up to become perhaps the greatest shooter of all time — and where he is still revered.“From the time I started playing basketball at 5, right down the street at the recreation center, to now, a lot has happened,” Curry said. “A lot of great things.”Curry was not so great Sunday, but that was not the point. He finished with 17 points, 9 rebounds and 7 assists for Team Giannis in a 178-164 loss to Team LeBron in the All-Star Game, which was a defense-free postscript to a weekend that was a Curry family affair.“Incredibly fond of the family,” Commissioner Adam Silver told reporters. “They seem to be the first family of Charlotte, at least this week.”For much of his trip home, Curry was accompanied by his father, Dell, who spent 10 seasons playing for the Charlotte Hornets, and his mother, Sonya, who drilled a half-court heave after the family helped refurbish a community center. It was probably the family’s splashiest shot of the weekend.“I was surprised,” Stephen Curry said, “because the first four she flung underhand, they didn’t make it to the rim. And then that last one, it just looked good from the moment it left her hand, and I was going, ‘Wham, bam, can of ham! That’s going in!’ ”Curry had less success in Saturday night’s 3-point shootout, where he was joined by his younger brother, Seth, who plays for the Portland Trail Blazers. Stephen Curry made it to the championship round before losing to Joe Harris of the Brooklyn Nets.But Curry had also found time to return to Davidson College, his alma mater, where he clambered into the student section to celebrate an 80-72 victory over St. Joseph’s on Friday night.“The energy in the building was unbelievable,” Curry said. “It’s surreal every time I get to go back there.”The following afternoon, Curry swayed in a sea of reporters (and at least one magician) as he fielded a wide-ranging mix of questions.What did it mean to him to be back in Charlotte? “It’s kind of overwhelming to be honest,” he said. “I’ve got to be like the Energizer bunny.”Could he say something nice to all his fans in the Dominican Republic? “I’ve been there, and I hope to go back,” he said."
Basketball,"Steven Soderbergh’s electrifying new film “High Flying Bird,” which debuted Friday on Netflix, tells the story of a fictional N.B.A. lockout set in the Instagram Age, in which longstanding concerns about money, race and social justice are galvanized by disputes over players’ personal images, and who has the right to control them. (Appropriately, the entire film was shot on an iPhone.)The film’s dense but fast-moving script, written by the playwright Tarell Alvin McCraney (“Moonlight”), is also replete with references to the game’s history — not least to the currents of protest and politics that have coursed through pro basketball since it was segregated. There’s a rich subtext here, much of it only hinted at. Below is a spoiler-filled guide.As in baseball, football and most areas of American life, segregation kept black players out of the white pro basketball leagues, confined to amateur and semipro all-black teams, which formed in schools, churches, community centers and the like. Games were frequently paired with ragtime dances to make for a full evening of entertainment.The best known of these barnstorming teams, often called “Black Fives” by historians, were the New York Renaissance and the Harlem Globetrotters. The Renaissance — or, as they were better known, the Rens — were so impressive that in 1947, Coach Joe Lapchick of the New York Knicks lobbied the Basketball Association of America to admit the team into the young league, a precursor of the National Basketball Association. The owners voted him down. The next year, a competing league, the National Basketball League, brought the team in instead.[Read the Times review of “High Flying Bird” by A.O. Scott.]Indirectly. The Rens and the Globetrotters, in particular, were internationally known for their dazzling play, often besting white teams when matched up for exhibition games. The Rens, for example, beat the all-white Oshkosh All-Stars in the first integrated tournament championship in 1939; the Globetrotters beat the Minnesota Lakers in a celebrated 1948 exhibition game that The Chicago Tribune pinpointed as key to the integration of the game.As Spencer (Bill Duke) explains in “High Flying Bird”: “There’s a reason why the N.B.A. started integrating as the Harlem Globetrotters exhibitions started going international. Control. They wanted the control of a game that we played, and we played better.”Lapchick, however, did not give up. In 1950, the year after the Basketball Association of America absorbed the smaller National Basketball League and became the N.B.A., he signed Nat (Sweetwater) Clifton, who had played for the Rens and the Globetrotters (as well as in baseball’s Negro leagues), to join the Knicks. That same season, West Virginia State’s Earl Lloyd joined the Washington Capitals and Chuck Cooper was drafted out of Duquesne by the Boston Celtics. (Another black player, Hank DeZonie, played five games with the Tri-Cities Blackhawks in December of that season.)Talking to The Times in 2008, Lloyd told stories of being heckled and spat upon by fans, although the abuse he encountered was “no comparison,” he said, to what Jackie Robinson withstood three years earlier in professional baseball.Yes — in fact, there were four. (One lasted only a few hours.) In the first dialogue scene of “High Flying Bird,” the sports agent Ray Burke (André Holland) tells a client, “Last time this happened, folks was broke left and right!” That “last time” was the 2011 lockout, which lasted  five months and resulted in the loss of 16 regular-season games, the entire preseason and an estimated $400 million in revenue for team owners and players.A 10-year deal was announced late that November, which heavily favored owners. It reduced player salaries by nearly $300 million and shifted an estimated $3 billion to the owners over the course of the contract. The truncated 66-game season finally got underway on Christmas Day.Much screen time in “High Flying Bird” is spent contemplating the legality of public appearances and exhibition games by league-signed players during the lockout. The 2011 lockout was threaded with similar concerns. The film’s fictional team owners grouse over the attention attracted by a “lockout street ball event in Las Vegas,” presumably inspired by the “lockout league” in Vegas, which comprised two weeks of pickup games with more than 70 N.B.A. players in September 2011, according to The Las Vegas Sun. (Profits from ticket sales were donated to charity).Dozens of players filled the pay gap by picking up spots on teams in Europe and Japan. As The Times’s Howard Beck noted at the time, however, “a vast majority of them are rookies, middling veterans and fringe players.”As New York magazine and others have noted, the character Myra (Sonja Sohn) strongly resembles Michele Roberts, who became the executive director of the National Basketball Players Association in 2014. The first woman in history to head a major sports union, Roberts made waves from the beginning. A Times profile a few months into her tenure noted that she had already “forcefully questioned the league’s pay model and labeled its entire cadre of owners as replaceable.”Like the character she inspired, Roberts is a tough-as-nails negotiator who is undaunted by working in a male-dominated world. “My past,” she told players while making her case for the job, “is littered with the bones of men who were foolish enough to think I was someone they could sleep on.”"
Basketball,"LeBron James can’t say that he wasn’t warned. Lots of us were crowing in the summer, and pretty loudly so, about what would greet the unquestioned Lord of the Eastern Conference if he dared to defect. Sign with the Los Angeles Lakers if you wish, for the sunnier Hollywood life and all the perks, but brace yourself for the most trying regular season of your career if you decide to go West. That was the gist of the scouting report — which in retrospect could not have been much more prescient. On cue: The most daunting and, yes, disappointing season of James’s career is right here, right now, for the biggest name in basketball.And it appears he will soon have to stomach that it’s going on his ledger in the most permanent ink that he was unable to bring a halt to the longest postseason drought in Lakers history — barring an unforeseen resurrection from a fractured group that sits four and a half games out of a Western Conference playoff berth with 19 games to go.No matter how much culpability you wish to assign James for what is poised to go down as the Lakers’ franchise-record sixth successive trip to the draft lottery, he’s going to have to own this as much as the front-office tandem of Magic Johnson and Rob Pelinka as well as the under-fire coach Luke Walton.The LeBron Way, for years and years, has worked something like this: He inevitably gets most of the credit when his team flourishes; his teammates absorb the bulk of the blame when things unravel. But this is different. This would be the jarring sight of James, fresh off his eighth consecutive finals appearance, actually missing out on the N.B.A. postseason for the first time since his second professional season in 2004-5, when he was just 20.Even though he can rightly point to his recent groin strain as the biggest standings-altering disruption these Lakers have endured, James surely understands that his maiden campaign in Los Angeles is bound to be recorded in many precincts as a failure to make the playoffs that belongs to him.The Lakers are 4-7 since James returned from the groin injury that sidelined him longer (17 consecutive games) than any previous injury in his 16-year career. They have followed up an unsightly road loss to Atlanta in their final game before the All-Star break with harder-to-rationalize road losses to New Orleans, Memphis and Phoenix since the break.After Saturday night’s humiliation against a 13-51 Suns team, which dropped the Lakers to 30-33, James’s gang only sports a 1.3-percent chance of reaching the postseason, according to Basketball-Reference.com.They also have the league’s eighth-toughest remaining schedule, according to Tankathon.com. We’ll never know if the Lakers, who had risen to a heady fourth in the West at 20-14 when James sustained the groin injury in a Christmas Day rout of Golden State, could have kept building upon that promising start with a healthy LeBron. But we most certainly do know that James’s mere return to the lineup, at 34, wasn’t enough to rescue a roster that has been assailed since conception for its lack of perimeter shooting and its defensive deficiencies. Nor has he been able to galvanize a locker room that was deeply destabilized by the Lakers’ trade pursuit of the New Orleans superstar Anthony Davis, which became all-consuming in late January, and has never recovered. It obviously doesn’t help that James, after missing two key free throws in the final minute Saturday, is also converting a substandard 66.9 percent of his attempts from the line to give his critics more handy fodder.Leaving his home-state Cleveland Cavaliers for the Lakers last July without the accompaniment of a second superstar meant that James, in a far deeper conference, would have little margin for error just to reach the playoffs. When you combine James’s injury absence with the continuing post-Davis malaise and the team’s declining ball movement since Lonzo Ball (ankle) was sidelined six weeks ago, it adds up rather quickly to a margin that is long gone."
Basketball,"The Knicks will not be going to the N.B.A. playoffs.If this doesn’t feel like hot-off-the-presses news, it shouldn’t. You may have checked the standings earlier in the season and seen that the Knicks were 4-10, or 8-20, or 10-40.With Monday night’s 115-108 loss to the Kings in Sacramento, the Knicks fell to a record of 13-51, the worst in the league. Yes, even worse than the Bulls, the Cavaliers and (shudder) the Suns. The loss also officially eliminated them from a playoff race they were unofficially eliminated from months ago.The loss, to a team that will probably also miss the playoffs, was hardly mitigated by a good scoring effort by the rookie shooting guard Allonzo Trier, who had 29 points.The Knicks are last in the league in shooting percentage and last in assists. So, in short, they can’t pass and they can’t shoot. Basketball Reference reports that they are particularly bad at the easiest type of shot, shooting only .603 from three feet or closer and .348 from three to 10 feet, both worst in the league.The rookie center Mitchell Robinson is fifth in the league in blocks and third in blocks per game. That’s good. But no other Knick is in the top five in anything. That’s not good.When you don’t have a lot of wins, you wind up with some losing streaks. It’s just math. The Knicks came into the new year with an eight-game, a six-game and a couple of five-game skids, as one might expect. More unexpected: In January and February, the Knicks lost 18 in a row.On the plus side, the Knicks have put together two winning streaks. One was two games and the other was three.The Knicks have now missed the playoffs for six straight years, just short of the franchise record. From 1960 to 1966, the Knicks missed the playoffs seven straight times. But those Knicks teams always won at least 21 games in that span. This season, the Knicks are on a pace to win 16 or 17 games, giving them a chance to break the franchise-worst record of 17 in the abysmal 2014-15 season.Knicks fans, desperate for a light at the end of the 82-game tunnel, are already focusing on the coming draft lottery, right Spike Lee? Zion Williamson, Duke’s dominant center, is the big prize. Adding Williamson and a couple of free agents lured by the bright lights of New York may finally bring the postseason back to Madison Square Garden.Unfortunately for the Knicks, the rules have been changed some this year, and having the very worst record does not offer any advantage. The three worst teams, one of whom is virtually certain to be the Knicks, all will have an identical 14 percent chance of landing the top pick. If the Knicks really are tanking to get a lower lottery spot, they can probably stop now."
Basketball,"GREENSBORO, N.C. — As advanced statistical analysis and its attendant new technology continue to reshape how sports are understood, watched and even played — when to punt on fourth down in football, where to position a baseball team’s infielders and how to build a winning basketball team — these new numbers also create a vexing problem:How to account for what complex algorithms cannot explain.The thirst for information is such that one essential set of college basketball data that will help determine the field for this month’s N.C.A.A. tournament, Ken Pomeroy’s eponymous KenPom ratings, includes a metric to shed light on when things do not actually go by the numbers.Pomeroy has a rather analog term for it: luck.“Luck is basically performance in close games,” Pomeroy said. “People generally don’t like the term ‘luck’ — that’s the feedback I get. Technically, I’d call it ‘randomness’ or something a lot more wordy, but that doesn’t fit well above a column.”In short, KenPom’s luck factor considers the difference between a team’s record and what the data would expect it to be. If a team’s record is better than its predictive numbers, it is lucky. If it is worse, then it is unlucky.This season, according to the KenPom ratings, no team among the 353 Division I college men’s basketball programs has been luckier than the University of North Carolina at Greensboro.The Spartans resemble a team one might expect from a coach, Wes Miller, who transferred to North Carolina as a walk-on, then earned a letter on a national championship team and eventually a spot in the starting lineup. They are resourceful and determined, and have the ethos (and the recruiting budget) of an underdog.Greensboro has a 28-6 record — the best in program history — and finished second in the Southern Conference, behind Wofford, which was ranked 20th in this week’s Associated Press poll.Did luck have something to do with it?Miller, pulling up a folding chair before a recent practice, reacted as one might expect. He praised Pomeroy as “a genius,” expressed fascination with analytics and said there were others on his staff who delve deeper into the data to provide the most salient information about the Spartans and their opponents.Then he assumed a defensive stance.“I’m not a mathematician,” he said. “I’m a basketball coach who’s always trying to figure out an edge to help me coach better. But there’s never been anybody that could put a number on will and togetherness of group.“There’s something that’s happening in our games that’s indescribable to his data that’s getting us over the hump,” Miller added. “That’s toughness. That’s the ability to win close games. The proudest I ever am as a coach is when we have an awful shooting game or we have an awful offensive game and things don’t go our way and we still find a way because our team was able to dig down and figure out a way to get over the hump.”Francis Alonso, a senior guard from Malaga, Spain, who is the heartbeat of his team, put it another way: “There’s this saying — it’s champions’ luck.”"
Basketball,"Zion Williamson’s legend grows with every game these days, with each new thundering dunk and every stunning new feat of elevation. It has been this way for several years now, with Williamson the featured actor in a growing collection of viral clips that show a player with the skills to outrun almost anyone, to catch almost anything, to challenge almost anybody. Even his lowest moments — the sneaker that couldn’t hold him, the injured knee that cost him five games — have somehow morphed into highlights. But Williamson, an 18-year-old Duke freshman, has been making memorable moments for years. A group of New York Times reporters tracked down some of the people who were present for a few of them, to ask them about the memories that stand out the most.Forgive Tom Konchalski.The publisher of High School Basketball Illustrated first observed Zion Williamson in person at the Elite 24, an all-star showcase for the nation’s top prep prospects, on Aug. 20, 2016. The court at Pier 2 in Brooklyn Bridge Park was the stage, and Williamson was 10 for 10 from the field, scored 23 points and shared most valuable player honors. Konchalski was impressed.To Konchalski’s well-trained eye — in five decades he had amassed an inventory of reports that stretched from Michael Jordan to LeBron James — Williamson, who had just turned 16, appeared to be an interior technician, a player at ease turning on his defender to make it to the rim for understated finishes. Because of Williamson’s body type, Konchalski considered him a left-handed Jamal Mashburn, a reference to the beefy Bronx product who played 11 seasons in the N.B.A.When Konchalski sat down at his typewriter after the Elite 24 to describe Williamson’s effort, he wrote that the “6-foot-5 junior Zion Williamson, the master of quiet domination, provided a bit of fresh air.”Looking back, Konchalski says now, he got it all wrong.“I’m wiping off copious amounts of egg from my face,” he said. Williamson, he knows, “is anything but quiet.” The first time LeBron James showed up to watch Zion Williamson, they wouldn’t let him in the door.It was July 2017, and James, once a transcendent teenage talent himself, went to see Williamson, the next big thing, at a showcase in Las Vegas. Williamson’s team, South Carolina Supreme, was playing Big Baller Brand, which featured LaMelo Ball, a brother of Lakers guard Lonzo Ball. It was, by summer youth basketball standards, a must-see event.James, of course, wasn’t the only one interested in that confluence of basketball stardust. The N.B.A. players Damian Lillard, Andrew Wiggins, Jamal Murray and Thon Maker were in the gym by the time James arrived, adding buzz to a crowd of more than 4,000 that threatened to swamp a court configured to hold less than half that many.Even in warm-ups, the excitement was palpable. The fans oohed and aahed as Williamson tossed balls high in the air and dunked them; many spectators held cellphones, the better to share video clips of a scene that was quickly called the “craziest A.A.U. game ever.” But James never saw any of it. With fans standing a dozen deep, nearly spilling onto the court from every direction, he and his group were told that just letting him into the gym constituted a security risk. A teenager’s mere presence, it seemed, had squeezed out basketball’s biggest star. James was told he couldn’t come in.“We shut him down,” an Adidas marketing executive told CBS Sports at the time. “The corners were 500 deep. That’s where it got insane.” It would be a year and a half before James got to see Williamson play in person. In February, he took a 35-minute flight from Philadelphia to Charlottesville, Va., and watched from courtside as Williamson, playing for Duke, went for 18 points, 5 rebounds and 5 assists in a win against Virginia. Williamson’s athleticism, James declared, was “ridiculous.” Bishop Richardson was averaging about three alley-oop assists to Williamson every game when their team, Spartanburg (S.C.) Day School, arrived at Ben Lippen School in Columbia, S.C., for a game during Williamson’s junior year. "
Basketball,"LOS ANGELES — Steve Kerr, the coach of the Golden State Warriors, was asked about the concept of inevitability before his team faced the Los Angeles Clippers on Thursday night, which is something that happens during the N.B.A. playoffs. Some questions are more philosophical than others.In this case, the question had to do with the perception shared by many that the Warriors are invincible, that another championship is theirs to lose: What is it like for Kerr to live inside that bubble, knowing full well that his players are capable of making mistakes and even (gasp) failing?Kerr took the opportunity to recall a moment from his childhood in Southern California. When he was 9 years old, he watched his beloved U.C.L.A. Bruins defeat the Kentucky Wildcats for another N.C.A.A. championship, their 10th in 12 years. Coach John Wooden retired after the game. In the nearly half-century since, U.C.L.A. has won one championship — in 1995, when Bob Myers, now the general manager of the Warriors, was a reserve forward.Kerr made sure to note that coincidence. But his larger point was about how sports are unpredictable, which is one of the reasons they are so appealing. Just as no one knew, for example, that the Warriors would make the wrong kind of history by blowing a 31-point lead on Monday, no one knew that they would bounce back on Thursday by obliterating the Clippers, 132-105, in Game 3 of their first-round series.At the same time, no one knows whether the Warriors will go on to win a third straight championship — or how long this team will remain intact. Nothing is inevitable. Everything is uncertain. All dynasties end.“So you don’t worry about expectations,” Kerr said. “Just go out there and play and do your best and see if you can sustain it for a long time. But everything comes to an end, and we’re just trying to keep this going for as long as we can.”The central (if unmentioned) figure in all of this, of course, is Kevin Durant, who has taken on all comers this season in the form of a 7-foot, long-limbed question mark. Bound for free agency this summer, Durant could stay with the Warriors, with whom he has already won two championships — but most expect him to go. Who knows? The agita has sometimes clouded his team’s season.The only sure thing is his basketball genius, which still belongs to the Warriors — for now if not forever — and was on display Thursday night against the Clippers, as he helped lift Golden State to a two-games-to-one lead in the series. Game 4 is Sunday at Staples Center.“Honestly,” Clippers Coach Doc Rivers said, “they dissected us.”It was a resounding statement by the Warriors in the wake of Monday’s fiasco, and no player was more electric or dynamic than Durant, who made all five of his shots in the first quarter — and somehow seemed to improve as the night went on. He finished with 38 points and 7 assists, shooting 14 of 23 from the field.“He came out super aggressive, in kill mode,” the Warriors’ Draymond Green said. “That was all the difference for us.”Durant’s explosion in Game 3 followed a couple of muted efforts for him early in the series. Defended by the Clippers’ Patrick Beverley, a 6-foot-1 guard whom Durant has described in recent days as both a “pit bull” and a “pest,” Durant managed 23 points before he was ejected in Game 1, then struggled even more in Game 2: 21 points and 9 turnovers while shooting just 5 of 8 from the field.At practice this week, Durant had a scrum with the news media that felt more like a doctoral defense. He explained his approach on offense. He talked about strategy and chemistry and shot selection and rhythm. He may have mentioned the officiating once or twice. He also offered a reminder in case anyone had forgotten.“I’m Kevin Durant,” he said. “You know who I am.”After Thursday’s game, Durant said the only difference was that the team had run more plays for him while putting him in better positions to score, often on the low block. Consider: He scored 27 points in the first half but did not make a single 3-pointer. His mentality, he said, never changes. He was not going to force bad shots. He was not going to turn his matchup with Beverley into some sort of me-first duel."
Basketball,"There is a good chance that LeBron James might not be playing basketball in June of 2020, barring a big free agent signing or a trade. But someone will be onstage discussing him.“King James,” a play by Rajiv Joseph, will be making its world premiere at the Steppenwolf Theater in Chicago in May 2020, the Steppenwolf announced on Thursday as part of its 2019- 2020 lineup announcement, a diverse slate with a particular emphasis on people of color. Anna D. Shapiro will direct.The show will depict life in Cleveland after 2016, when the Cavaliers won the championship, as two friends “spar in a verbal game of one-on-one, revealing past secrets, present truths, and a possible future after ‘The King’ has left the building.” (Last summer, Mr. James left Cleveland for the Los Angeles Lakers.) The play will also be produced on the West Coast in Los Angeles, where Mr. James currently resides, as part of the Center Theatre Group’s 2020- 2021 season.Other highlights from Steppenwolf’s upcoming season include the debut of “Lindiwe,” a musical featuring works by the famed South African group Ladysmith Black Mambazo (Nov. 7-Dec. 29, 2019). Tracy Letts, a Tony Award and Pulitzer Prize winner, will bring his play “Bug” to Chicago, which is slated to be directed by David Cromer (“The Band’s Visit”) and star Carrie Coon (“Who’s Afraid of Virginia Woolf?”, HBO’s “The Leftovers”) and Namir Smallwood (Jan. 23-March 8, 2020).Lauren Yee’s “The Great Leap,” which last year was at the Atlantic Theater Company’s Stage II in New York, will make a leap of its own to Chicago. Another play about basketball, the work tracks an American team’s trek to Beijing in the late-1980s (Sept. 5-Oct. 20, 2019).“The Brothers Size,” an early work of Tarell Alvin McCraney, is headlining Steppenwolf’s young adult programming (Oct. 2–19, 2019), as is the world premiere of “I Am Not Your Perfect Mexican Daughter,” an adaptation of the book by Erika L. Sánchez, which will be directed by Sandra Marquez (Feb. 26-March 21, 2020)."
